name,alignment,corps,commander,symbol,id,parentId,size
Officer,bluefor,Infantry,CPL Jeffrey Shaw,/assets/nato_icons/bluefor/unit_infantry.svg,aa5940aa-7a24-4be9-8e59-3238ce5352d5,51cffcea-7e52-4aa7-b23a-d1aa58fb0e10,,
1-1,bluefor,Infantry,CPL Jeffrey Shaw,/assets/nato_icons/bluefor/unit_infantry.svg,51cffcea-7e52-4aa7-b23a-d1aa58fb0e10,d881fce6-c277-4015-ba44-f6bb6d58306b,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL George Harris,/assets/nato_icons/bluefor/unit_infantry.svg,0d9ca1ee-c6aa-4928-92e7-ea5186de5b29,99a43f1c-212f-4742-859c-6dfafd8b794a,,
1-2,bluefor,Infantry,CPL George Harris,/assets/nato_icons/bluefor/unit_infantry.svg,99a43f1c-212f-4742-859c-6dfafd8b794a,d881fce6-c277-4015-ba44-f6bb6d58306b,/assets/nato_icons/size/bluefor_020.svg,
Officer,bluefor,Infantry,CPL Paul Hardy,/assets/nato_icons/bluefor/unit_infantry.svg,53ff31ac-903c-4865-ac57-8bdecc24b135,126916e0-344c-4429-be62-7237b458c8fe,,
1-3,bluefor,Infantry,CPL Paul Hardy,/assets/nato_icons/bluefor/unit_infantry.svg,126916e0-344c-4429-be62-7237b458c8fe,d881fce6-c277-4015-ba44-f6bb6d58306b,/assets/nato_icons/size/bluefor_020.svg,
Recon Platoon,bluefor,Infantry,LT Thomas Curtis,/assets/nato_icons/bluefor/unit_reconnaissance.svg,d881fce6-c277-4015-ba44-f6bb6d58306b,57b0ea97-5567-4566-a466-dad7881ecaeb,/assets/nato_icons/size/bluefor_030.svg,
Gunner,bluefor,Infantry,PTE Jorge Lambert,/assets/nato_icons/bluefor/unit_infantry.svg,ed7d32cf-1316-4d9d-8f65-9e15200b9d4b,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Gunner,bluefor,Infantry,PTE Brandon James,/assets/nato_icons/bluefor/unit_infantry.svg,a09a41e1-7f2a-44ba-bf3a-eb63277b30c8,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Grenadier,bluefor,Infantry,PTE Angel Reyes,/assets/nato_icons/bluefor/unit_infantry.svg,7aec287d-78ac-42f7-b632-eeec309b5e3d,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Grenadier,bluefor,Infantry,PTE Wayne Campbell,/assets/nato_icons/bluefor/unit_infantry.svg,a304cc5d-15e8-4e74-946a-86676735e8e6,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Rifleman,bluefor,Infantry,PTE Mark Ortiz,/assets/nato_icons/bluefor/unit_infantry.svg,ae0e5397-d286-47ce-ad36-3a1ae4ee49c4,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Rifleman,bluefor,Infantry,PTE Bernard Grant,/assets/nato_icons/bluefor/unit_infantry.svg,9a602191-9a17-45a3-a925-5402599eb821,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
Section Commander,bluefor,Infantry,CPL George Obrien,/assets/nato_icons/bluefor/unit_infantry.svg,c16216b1-4c0d-443c-9c0b-013fe0de9891,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,,
1-1,bluefor,Infantry,CPL George Obrien,/assets/nato_icons/bluefor/unit_infantry.svg,f3ec0df1-70b3-49fc-8ab3-5978495aa8af,5fe78804-98fb-4ae8-8399-3f8f77f564fa,/assets/nato_icons/size/bluefor_020.svg,
Gunner,bluefor,Infantry,PTE Albert Page,/assets/nato_icons/bluefor/unit_infantry.svg,e9c91301-f10a-4239-92ed-a0cb1c561755,1074d164-683f-40bf-815d-8d2efa63b680,,
